Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,POINTS_BEHIND_LEAD,ROUNDS_PLAYED,SG_PUTTING_PER_ROUND,TOTAL_SG:PUTTING,MEASURED_ROUNDS,AVG_Driving_DISTANCE,UP_AND_DOWN_%,PAR_OR_BETTER,MISSED_GIR,FAIRWAY_HIT_%,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,GIR_RANK,GOING_FOR_GREEN_IN_2%,ATTEMPTS_GFG,NON-ATTEMPTS_GFG,RTP-GOING_FOR_THE_GREEN,RTP-NOT_GOING_FOR_THE_GRN,HOLE_OUTS,SAND_SAVE%,NUMBER_OF_SAVES,NUMBER_OF_BUNKERS,TOTAL_O/U_PAR,Three_PUTT%,TOTAL_3_PUTTS,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,DRIVES_320+%,TOTAL_DRIVES_FOR_320+,TOTAL_DRIVES,ROUGH_TENDNECY%,TOTAL_ROUGH,FAIRWAY_BUNKER%,TOTAL_FAIRWAY_BUNKERS,AVG_CLUB_HEAD_SPEED,FASTEST_CH_SPEED,SLOWEST_CH_SPEED,AVG_BALL_SPEED,FASTEST_BALL_SPEED,SLOWEST_BALL_SPEED,AVG_SMASH_FACTOR,HIGHEST_SF,LOWEST_SF,AVG_LAUNCH_ANGLE,LOWEST_LAUNCH_ANGLE,STEEPEST_LAUNCH_ANGLE,AVG_SPIN_RATE,HIGHEST_SPIN_RATE,LOWEST_SPIN_RATE,AVG_HANG_TIME,LONGEST_ACT.HANG_TIME,SHORTEST_ACT.HANG_TIME,AVG_CARRY_DISTANCE,LONGEST_CARRY_DISTANCE,SHORTEST_CARRY_DISTANCE,AVG_SCORE,TOTAL_STROKES,TOTAL_ROUNDS,MAKES_BOGEY%,BOGEYS_MADE,HOLES_PLAYED,AGE

Aaron Baddeley,27,342,0,1,5275,84,-0.062,-4.064,66,295.5,62.09,303,488,52.18,538,1031,165,55.6,139,111,-86,-2,20,56.25,72,128,32,2.49,35,0.305,-0.375,0.048,0.632,7.07,65,920,35.86,327,7.5,68,113.89,118.45,110.22,170.68,174.72,166.01,1.498,1.519,1.446,14.71,10.45,18.49,2683,3761,2157,6.2,7.6,0.8,278.2,312.6,237.1,70.85,5518,78,16.24,228,1404,37
Aaron Wise,27,1498,1,4,4119,82,0.245,17.134,70,303.4,56.59,249,440,63.29,688,1087,45,60.38,157,103,-97,-3,11,48.8,61,125,38,3.44,52,0.486,0.421,0.075,-0.01,11.82,122,"1,032",24.34,249,7,72,114.4,117.45,111.03,171.87,175.64,167.5,1.502,1.516,1.444,13.96,9.25,17.49,2561.1,4507,1903,6.5,7.6,4.7,282.5,314.6,255.7,70.276,5888,84,16.53,250,1512,22
Abraham Ancer,29,909,0,5,4708,94,-0.052,-4.076,79,296.3,63.23,356,563,63.06,811,1286,108,59.87,179,120,-77,-18,13,54.38,87,160,31,2.66,46,0.444,0.332,0.128,-0.016,12,139,"1,158",28.68,331,5.6,65,111.85,115.87,108.23,167.57,174.44,160.94,1.498,1.519,1.441,13.94,11.32,16.68,2599.9,6085,1700,6.4,7.6,4.6,275.1,305.8,223.5,70.659,6745,96,14.76,255,1728,27
Adam Hadwin,24,1054,0,3,4563,88,0.145,8.729,60,289.7,59.04,284,481,65.18,760,1166,74,58.87,146,102,-68,-1,12,48.15,78,162,42,2.31,37,0.584,0.121,0.24,0.223,7.81,70,896,23.52,210,6.8,61,111.69,115.91,108.55,168.2,171.03,162.51,1.506,1.519,1.472,13.67,10.45,17.11,2952,6446,2175,6.5,7.7,4,277.7,307.7,246.9,70.75,6280,89,15.61,250,1602,30
Adam Schenk,28,239,0,1,5378,86,0.13,8.558,66,305.5,54.55,252,462,57.67,643,1115,67,62.4,151,91,-81,4,8,42.36,61,144,51,3.26,47,-0.28,0.073,-0.262,-0.091,15.54,143,920,31.98,291,6.3,57,120.59,123.73,116.98,177.58,181.34,171.12,1.472,1.508,1.426,13.47,10.33,16.1,3006.1,3795,1913,6.5,7.7,4,283,305,236.8,71.37,5683,80,16.88,243,1440,26
Adam Scott,20,1052,0,3,4565,74,-0.221,-11.944,54,304.8,56.5,213,377,62.16,626,1007,6,59.39,117,80,-68,-6,7,52,65,125,43,4.34,61,1.224,0.366,0.705,0.153,14.85,120,808,26.29,209,5.8,46,120.85,124.53,117.06,180.85,185.86,175.34,1.496,1.518,1.457,13.42,9.27,18.49,2903.8,5255,2140,6.5,7.6,4.4,286.3,313.6,264.6,70.42,5504,78,16.67,234,1404,38
Alex Cejka,24,524,0,2,5093,77,0.009,0.556,60,286.7,64,288,450,66.49,639,961,155,50,106,106,-64,-9,15,59.35,73,123,34,2.33,29,0.302,-0.024,-0.169,0.495,3.47,29,836,26.29,219,4.6,38,107.28,113.77,104.16,160.36,163.06,156.36,1.495,1.519,1.426,13.4,6.96,18.47,2899.2,7586,2107,6.7,7.5,2.7,265.8,288.8,238,70.675,4852,69,15.06,187,1242,47
Alex Noren,17,1033,0,3,4584,63,0.686,28.117,41,299.2,61.96,202,326,60.52,443,732,128,67.72,107,51,-63,-1,4,51.58,49,95,22,2.31,25,0.364,0.208,0.19,-0.034,10.16,64,630,29.03,182,6.1,38,117.78,122.53,113.17,173.28,177.59,168.8,1.471,1.507,1.425,13.32,8.83,17.75,3143.2,6312,2105,6.7,7.9,2.9,280.9,308.1,260.2,69.973,4222,60,15.09,163,1080,36
Andrew Landry,26,1145,1,5,4472,78,-0.051,-3.516,69,291.7,56.14,265,472,63.23,674,1066,118,45.91,118,139,-47,-25,15,42.28,52,123,45,2.15,31,0.016,0.263,-0.061,-0.186,5.97,61,"1,022",26.84,273,5.2,53,110.86,116.06,107.74,166.35,169.23,162.9,1.5,1.519,1.457,13.3,7.88,17.81,2545.6,5012,1456,6.3,7.3,2.2,272.2,296,244.2,71.059,5657,80,16.53,238,1440,31
